Index,Acts number,Acts 
,2 of 2,"Sangh-a trade union registered under the Indian Trade Union Act, 1926"
1878,1 of 8,"Act, 1937, on the one hand and the Indian Evidence Act, 1872"
,2 of 8,"Bengal Money 1 1947 F.C.R. 28, 34. Lenders Act, 1940"
,3 of 8,"State are governed by the All India Services Act, 1951"
,4 of 8,"Court upheld the provisions of the Bombay Prohibition Act, 1949"
,5 of 8,"Punjab Restitution of Mortgaged Lands Act, 1938"
,6 of 8,"List III of the, Government of India Act, 1935"
,7 of 8,"All India Service Act, 1951"
,8 of 8,"Madras Prohibition Act, 1937"
1879,1 of 1,"University under section 13 of the University of Saugar Act, 1946"
1880,1 of 1,"Bombay Rent Act, 1947"
1881,1 of 2,"Indian Tariff Act, 1934"
,2 of 2,"Customs authorities under section 50 of the Customs Act, 1962"
1882,1 of 9,"Indian Railways Act 1890, hereinafter called the Act"
,2 of 9,"Before, the High Court, s. 28 of the Indian Railways Act"
,3 of 9,Board because according to s. 2 of the Indian Railway Board Act
,4 of 9,Our attention has number been drawn to any provision in the Act
,5 of 9,Rule 17 has been incorporated in s. 120A 1 of the Act
,6 of 9,Central Government under some enactments other than the Act
,7 of 9,Act which was inserted for the first time by Act
,8 of 9,Central Government under the Act
,9 of 9,The Indian Observer was quashed. Section 120A of the Act
1883,1 of 1,"State Government under S. 39 of the Industrial Disputes Act, 1947"
1884,1 of 1,"Temporary Control of Rent and Eviction Act, 1947"
1885,1 of 2,"Minimum Wages Act, 1948"
,2 of 2,"Factories Act, 1948"
1886,1 of 2,"Prevention of Corruption Act, 1947"
,2 of 2,"Companies Act, 1956"
1887,1 of 1,Section 145 of the Evidence Act
1888,1 of 6,Inspector is a sale for the purpose of section 16 of the Act
,2 of 6,"Adulteration Act Act 37 of 1954 , hereinafter called the Act"
,3 of 6,Section 7 of the Act
,4 of 6,Shakkar under the rules formed under the Act
,5 of 6,"Act, that Food Inspector had power under the Act"
,6 of 6,Prevention of Food Adulteration Act Act
1889,1 of 2,"Press and Registration of Books Act, 1867"
,2 of 2,"State Government. The Criminal Law Amendment Act, 1961"
1890,1 of 2,"After the companyning into force of the Arbitration Act, 1940"
,2 of 2,"Madras Aliyasantana. Act, 1949"
1891,1 of 2,"Section 31 3 of the Madhya Pradesh Industrial Relations Act, 1960"
,2 of 2,"Factories Act, 1948"
1892,1 of 1,"Assam Act No. 1 of 1910 Eastern Bengal and Assam Excise Act, 1910"
1893,1 of 4,"Arms Act, 1959 or the Explosive Substances Act, 1908"
,2 of 4,"Arms Act, 1959"
,3 of 4,"West Bengal Prevention of Violent Activities Act, 1970"
,4 of 4,"West Bengal State Legislature Delegation of Powers Act, 1970"
1894,1 of 3,"Legislature passed the Retroceded Application of Laws Act, 1948"
,2 of 3,"Position companytinued in Madras even after the Shariat Act, 1937"
,3 of 3,"Shariat Act of 1937, and thereafter of the Cutchi Memons Act, 1938"
1895,1 of 3,"Appropriate Government under the Minimum Wages Act, 1948"
,2 of 3,"Schedule to The Minimum Wages, Act, 1949"
,3 of 3,"The object of the Minimum Wages Act, 1948"
1896,1 of 2,English Theft Act
,2 of 2,Illustration a of the Evidence Act
1897,1 of 18,Section7 1 a of the Land Improvement Loans Act
,2 of 18,"It was urged that, before article 117 of the Limitation Act"
,3 of 18,Indian Transfer of Property Act
,4 of 18,Land Improvement Loam Act
,5 of 18,Section 42 of the Madras Revenue Recovery Act
,6 of 18,The purpose of s. 52 of the Transfer of Property Act
,7 of 18,Section 5 of the Limitation Act
,8 of 18,The purpose of Section 52 of the Transfer of Property Act
,9 of 18,Section 7 of the Land improvement Loans Act
,10 of 18,"Munisami, in taking a loan under the Act"
,11 of 18,The liability of the land to be sold under s. 7 c of the Act
,12 of 18,Section 14 Limitation Act
,13 of 18,"Section 10, all loans granted under this Act"
,14 of 18,Loans Act. Under s. 7 of the Land Improvement Loans Act
,15 of 18,Section 52 of our Transfer of Property Act
,16 of 18,Munisami Mudaliar under the Land Improvement Loans Act
,17 of 18,Sec. 42 of the Madras Revenue- Recovery Act
,18 of 18,Section 7 of the Land Improvement Loans Act
1898,1 of 1,"Madras Shops Establishments Act, 1947"
1899,0 of 0,Empty
1900,1 of 1,They were also companyvicted under Section 25-A of the Arms Act
1901,1 of 1,"Maintenance of Internal Security Act, 1971"
1902,1 of 2,"Industrial Disputes Appellate Tribunal Act, 1950"
,2 of 2,"Coal Mines Provident Fund and Bonus Schemes Act, 1948"
1903,1 of 6,Transfer of Property Act
,2 of 6,"Land Acquisition Act 1894, hereinafter called the Act"
,3 of 6,State Government under the Land Acquisition Act
,4 of 6,Under s. 106 of that Act
,5 of 6,Under section 29 of the Indian Contract Act
,6 of 6,Applications for reference were made under s. 18 1 of the Act
1904,1 of 7,"Arms Act, 1959 or the Explosive Substances Act, 1908"
,2 of 7,"Arms Act, 1878"
,3 of 7,"The offence thus fell under the Arms Act, 1959"
,4 of 7,"West Bengal Prevention of Violent Activities Act, 1970"
,5 of 7,"Mines Act, 1952"
,6 of 7,"Sec. 46 1 of the Arms Act, 1959"
,7 of 7,"Coal Mines Regulations of 1926 made under Mines Act, 1923"
1905,1 of 2,"Industrial Disputes Act, 1947"
,2 of 2,"Industrial Employment Standing Orders Act, 1946"
1906,1 of 1,"Maintenance of Internal Security Act, 1971"
1907,1 of 1,"West Bengal Prevention of Violent Activities Act, 1970"
1908,1 of 2,"Act repealed hereby, or under the Indian Income-tax Act, 1886"
,2 of 2,"Mullick under S. 37 of the Indian Income-tax Act, 1922"
1909,0 of 0,Empty
1910,0 of 0,Empty
1911,1 of 1,"Section 15 a of the Central Sales Tax Act, 1956"
1912,1 of 6,"Prevention of Violent Activities Act, being Presidents Act"
,2 of 6,"Sadhan Roy v. West Bengal 1 , a case under the Presidents Act"
,3 of 6,State Government has power under the Act
,4 of 6,West Bengal Prevention of Violent Activities Act
,5 of 6,"August 6, 1971 when he was furnished, as required by the Act"
,6 of 6,West Bengal and the other relevant authorities under the Act
1913,1 of 1,"Land Acquisition Act, 1894"
1914,0 of 0,Empty
1915,1 of 8,"Section 50 of the Madras Act, 1959"
,2 of 8,"Central Excises and Salt Act, 1944"
,3 of 8,"Section 26 of the C.P. and Berar Sales Tax Act, 1947"
,4 of 8,"Medicinal and Toilet Preprations Excise Duties Act, 1955"
,5 of 8,"The Madhya Pradesh Motor Vehicles Taxation of Goods Act, 1962"
,6 of 8,"Government servants. The Bombay District Tobacco Act, 1953"
,7 of 8,Central Excises and Salt Act. 1944
,8 of 8,"Government servants. The Madras General Sales Tax Act, 1959"
1916,1 of 10,This is clear from the language of section 6 of the Act
,2 of 10,"Before, however, the benefit of the Act"
,3 of 10,The object of the Act
,4 of 10,"Probation of Offenders Act,, 1958 Act"
,5 of 10,Act. Section 18 of the Act
,6 of 10,The policy underlying the Act
,7 of 10,Pro- bation of Offenders Act
,8 of 10,Indian Penal Code and section 25 of the Arms Act
,9 of 10,The Probation of Offenders Act
,10 of 10,Prevention of Corruption Act
1917,1 of 6,"Indian Income-4ax Act, 1922"
,2 of 6,"Excess Profits Tax Act, 1940"
,3 of 6,"Act. Section 44 of the Indian Income-tax Act, 1922"
,4 of 6,"That is made clear by s. 3 of the Indian Income-tax Act, 1922"
,5 of 6,"Act similar to s. 25-A of the Indian Income-tax Act, 1922"
,6 of 6,"India in the same manner as under the Indian Income- tax Act, 1922"
1918,1 of 1,"Indian Income Tax Act, 1922"
1919,1 of 1,"Indian Income-tax Act, 1918"
1920,1 of 1,"Indian Income-tax Act, 1922"
1921,1 of 1,"Motor Vebicles Act, 1939"
1922,1 of 3,"Thereafter the Requisitioned Land Continuance of Powers Act, 1947"
,2 of 3,"The Defence of India Act, 1939"
,3 of 3,"Requisitioning and Acquisition of Immovable Property Act, 1952"
1923,1 of 4,"Security Act, 26 of 1971 hereinafter called, the Act"
,2 of 4,Constitution and the Act
,3 of 4,Constitution as also of the Act
,4 of 4,Maintenance of internal Security Act
1924,1 of 8,Telegraph is defined in the Indian Telegraph Act
,2 of 8,There is numberviolation of section 25 of the Telegraph Act
,3 of 8,Telegraph Authorities companyld intercept message under the Act
,4 of 8,Under section 146 of the Evidence Act
,5 of 8,There was numberviolation of the Indian Telegraph Act
,6 of 8,Indian Telegraph Act. Section 25 of the Indian Telegraph Act
,7 of 8,The substance of the offence under section graph Act
,8 of 8,Again under section 153 of the Evidence Act
1925,1 of 1,"Reference under s. 66 1 of the Indian Income-tax Act, 1922"
1926,1 of 1,"Indian Income-tax Act, 1961"
1927,0 of 0,Empty
1928,0 of 0,Empty
1929,1 of 1,Sec. 5 2 of the Prevention of Corruption Act
1930,1 of 6,State. Act
,2 of 6,Orissa Hindu Religious Endowments Act
,3 of 6,Religious Endowments took action under s. 27 of the said Act
,4 of 6,Act is number an offence under s. 5 of the Act
,5 of 6,The objector filed a revision under s. 9 of the said Act
,6 of 6,Act that the Act
1931,1 of 3,"Court was companycerned was the Central Excise and Salt Act, 1944"
,2 of 3,"Government of U.P. under s. 3A of the U.P. Sales Tax Act, 1948"
,3 of 3,"Rating and Valuation Apportionment Act, 1928"
1932,1 of 1,"Indian Income-tax Act, 1922"
1933,1 of 1,"They received payments under the War Damage Act, 1943"
1934,1 of 3,"Tribunal under s. 66 1 of the Indian Income- tax Act, 1922"
,2 of 3,"Banking Companies Act, 1949"
,3 of 3,"Income-tax Act, 1922"
1935,1 of 9,"Act provided that numberhing in the second Chapter of the, Act"
,2 of 9,Section 23 of the Indian Contract Act
,3 of 9,Indian Con tract Act
,4 of 9,Section 115 of the Evidence Act
,5 of 9,Section 115 Evidence Act
,6 of 9,Law with that of Section 6 a of the Transfer of Property Act
,7 of 9,Section 2 of the Transfer of Property Act
,8 of 9,Contract Act and the Evidence Act
,9 of 9,Section 23 Contract Act
1936,0 of 0,Empty
1937,1 of 3,"Act similar to that of section 34 of the Indian Income Tax Act, 1922"
,2 of 3,"Act and section 34 of the Indian Income Tax Act, 1922"
,3 of 3,"Sales Tax was payable under the Orissa Sales Tax Act, 1947"
1938,1 of 2,"Delhi Shops Establishments Act, 1954"
,2 of 2,"Factories Act and of the Madras Shops Establishments Act, 1958"
1939,1 of 1,"Indian Christian Marriage Act, 1872"
1940,1 of 1,"Validation of Certain Taxes on Buildings and Lands Act, 1965"
1941,1 of 1,"Section 10 of the Indian Income-tax Act, 1922"
1942,0 of 0,Empty
1943,0 of 0,Empty
1944,1 of 11,July following the date of the companymencement of this Act
,2 of 11,"Act, shall be void. Section 45 of the above mentioned Act"
,3 of 11,The Fourth Schedule to the Act
,4 of 11,Act No. 17 of 1939  hereinafter-referred to as the Act
,5 of 11,Fourth Schedule of Act
,6 of 11,Agarwal. Sub-section 1 of section 33 of the U.P. Tenancy Act
,7 of 11,Surrender by a tenant is dealt with in section 62 of the Act
,8 of 11,Section 180 of the above mentioned Act
,9 of 11,Allahabad 25. A.I.R. 37 1950 Allahabad 604. 1939 U.P. Act
,10 of 11,Clause a of section 91 of the Transfer of Property Act
,11 of 11,Act. According to sub-section 1 of section 44 of that Act
1945,1 of 2,"Court in a reference under S. 21 of the Excess Profits Tax Act, 1940"
,2 of 2,"Act read with s. 66 2 of the Indian Income-tax Act, 1922"
1946,1 of 4,"Uttar Pradesh Sales Tax Act Amendment and Validation Act, 1970"
,2 of 4,"Indian Income-tax Act, 1922"
,3 of 4,"Sections 3-A and 3-D of the U.P. Sales Tax Act, 1948"
,4 of 4,"United Provinces Sales Tax Act, 1948"
1947,1 of 3,As has often been em- phasised by this Court the Act
,2 of 3,"Internal Security Act, 26 of 1971 hereinafter called the Act"
,3 of 3,Maintenance of Internal Security Act
1948,1 of 3,Criminal Procedure Code as it stood before its amendment by Act
,2 of 3,Indian Evidence Act
,3 of 3,It may be numbered here that prior to the Amending Act
1949,1 of 5,"Further, the Constitution Seventh Amendment Act, 1956"
,2 of 5,"State of Andhra Pradesh under the Re-organisation of States Act, 1956"
,3 of 5,"Dominion of India after the Indian Independence Act, 1947"
,4 of 5,"Regional Committee. The Constitution Seventh Amendment Act, 1956"
,5 of 5,"Public Employment Requirement as to Residence Act, 1957"
1950,1 of 2,Factories Act. 1948
,2 of 2,"Mining Act, 1952"
1951,1 of 1,"Promotion of Construction, Sale, Management and Transfer Act, 1963"
1952,1 of 3,Control and Regulation of Administration Act Bihar Act
,2 of 3,It may also be pointed out that under S. 6 of the above Act
,3 of 3,High Schools Control and Regulation of Administration Act
1953,1 of 10,"Section 15 of the Indian High Court Act, 1861"
,2 of 10,"Act, 1879 repealing and replacing, the Public Office Fees Act, 1866"
,3 of 10,"Judicature Act, 1875"
,4 of 10,"Rules, 1956, and the Madras Court Fees and Suits Valuation Act, 1955"
,5 of 10,"Court fees Uttar Pradesh Amendment Act, 1959"
,6 of 10,"Government of In Act, 1935"
,7 of 10,"Justice Clarks Act, 1877"
,8 of 10,"In India indeed section 3 of the Court Fees Act, 1870"
,9 of 10,"Public Office Fees Act, 1879"
,10 of 10,"Madras High Court Fees and Suits Valuation Act, 1955"
1954,1 of 1,"Central Sugar Cane Act, 1934"
1955,1 of 11,Official Secrets Act
,2 of 11,The jurisdiction under the Act
,3 of 11,Maintenance of Internal Security Act
,4 of 11,"Security Ordinance, 1971 which was replaced by the present Act"
,5 of 11,Act is clearly against the petitioners submission. The Act
,6 of 11,"The object, scheme and language of the Act"
,7 of 11,Security Act No. 26 of 1971 hereinafter called the Act
,8 of 11,State Government under s. 3 3 of the Act
,9 of 11,Act. Under s. 3 1 of the Act
,10 of 11,Act. We art-- unable to accept this companytention. The Act
,11 of 11,The preventive detention provided by the Act
1956,1 of 3,"Indian Income- tax Act, 1922"
,2 of 3,"Expenditure-tax Act, 1957"
,3 of 3,"Wealth Tax Act, 1957"
1957,1 of 2,"Sales Tax Act, 1948"
,2 of 2,"Third Schedule to the Madras General Sales Tax Act, 1959"
1958,1 of 8,Section 160 of the Army Act
,2 of 8,Under Section 153 of the Army Act
,3 of 8,Substantive Lieut Act
,4 of 8,Section 112 of the Act
,5 of 8,Section 157 of the Army Act
,6 of 8,"The accused was companyvicted by the Court, under Army Act"
,7 of 8,Chapter XII of the Army Act
,8 of 8,"The, attention of the companyrt is drawn to Army Act"
1959,1 of 1,"Indian Income Tax Act, 1922"
1960,0 of 0,Empty
1961,1 of 1,"Madras General Sales Tax Act, 1959"
1962,0 of 0,Empty
1963,1 of 4,"The District Magistrate, under section 6 of the Act"
,2 of 4,The petitioner in accordance with the rules under the Act
,3 of 4,"February, 1971 made a declaration under section 5 of the Act"
,4 of 4,"Press Registration of Books Act 1867, referred to as the Act"
1964,1 of 4,"Certificate of enrolment under S. 22 of the Advocates Act, 1961"
,2 of 4,Amending Act. 1086
,3 of 4,"Certificate of enrolment under s. 22 of the Advocates Act, 1961"
,4 of 4,"Indian Stamp Act, 1899"
1965,1 of 3,"Indian Partnership Act, 1932"
,2 of 3,"Indian Income-tax Act, 1922"
,3 of 3,"Indian Registration Act, 1908"
1966,1 of 5,"Our attention was drawn to Sec. 4 of the Land Registration Act, 1876"
,2 of 5,"State of Bihar under the Bihar Land Reforms Act, 1950"
,3 of 5,"What was the effect of the Bihar Land Reforms Act, 1950"
,4 of 5,"For companysidering the effect of the Bihar Land Reforms Act, 1950"
,5 of 5,"State of Bihar under Bihar Land Reforms Act, 1950"
1967,1 of 4,"The facts in this petition are that the Land Acquisition Act, 1894"
,2 of 4,"Land Acquisition Madhya Pradesh Amendment Act, 1957"
,3 of 4,"Act. By section 3 of the impugned Act the Land Acquisition Act, 1894"
,4 of 4,"Land Acquisition M.P. Amendment Act, 1959"
1968,1 of 2,Prevention of Corruption Act
,2 of 2,Study of Manganese in Health and Disease by Neutron Act
1969,1 of 1,"Zamindari Abolition and Land Reforms Act, 1950"
1970,1 of 1,"Licensing Authority under the Imports Exports Control Act, 1947"
1971,1 of 2,"Indian Succession Act, 1925"
,2 of 2,"Committee relied on s. 111 of the Indian Succession Act, 1865"
1972,1 of 11,"The, undisputed fac"
,2 of 11,He also failed to establish that he had in fac
,3 of 11,At page 269 In a Mutt it is the custom or prac
,4 of 11,Mahantship seniority was number the decisive fac
,5 of 11,The fac
,6 of 11,The second defendant had as a matter of fac
,7 of 11,Mahant. The defendants denied the fac
,8 of 11,It recites It has been the prac
,9 of 11,The High Court also relied on the fac
,10 of 11,He had ac
,11 of 11,Reliance was also placed by the High Court on the fac
1973,0 of 0,Empty
1974,1 of 1,"All India Services. Section 3 of the All-India Services Act, 1951"
1975,1 of 1,Under s. 10 1 of the Industrial Disputes Act
1976,1 of 2,Preventive Detention Act
,2 of 2,Essential Supplies Act
1977,1 of 1,"Trade and Merchandise Marks Act, 1958"
